Language,Entries,Evaluated,Refusal Rate %,Average Score,Refused Count
arb.Arab,382,382,23.8,3.53,91
ces.Latn,382,382,22.8,3.47,87
cmn.Hani,382,382,18.8,3.76,72
deu.Latn,382,382,21.5,3.59,82
fra.Latn,382,382,21.7,3.57,83
ind.Latn,382,382,28.0,3.22,107
ita.Latn,382,382,24.3,3.47,93
jpn.Jpan,382,382,18.3,3.82,70
kor.Hang,382,382,25.1,3.61,96
nld.Latn,382,382,17.8,3.72,68
pol.Latn,382,382,19.1,3.72,73
por.Latn,382,382,18.3,3.72,70
ron.Latn,382,382,18.3,3.69,70
rus.Cyrl,382,382,25.7,3.32,98
spa.Latn,382,382,25.9,3.36,99
tur.Latn,382,382,11.5,4.11,44
