language,lang_code,Apertus_effect,Apertus_ci_lower,Apertus_ci_upper,GPT_effect,GPT_ci_lower,GPT_ci_upper
Arabic,arb.Arab,-1.8481675392670156,-2.6576677608781534,-1.0386673176558776,-0.33638743455497383,-0.48274414634424107,-0.1900307227657066
Czech,ces.Latn,-2.137434554973822,-2.832591338916912,-1.4422777710307315,-0.36387434554973824,-0.4993089880312241,-0.2284397030682524
Chinese,cmn.Hani,-6.0863874345549736,-7.027976494440607,-5.14479837466934,-2.4476439790575917,-2.649059149662884,-2.246228808452299
German,deu.Latn,2.2840314136125652,1.7709267028416822,2.7971361243834485,-0.2513089005235602,-0.3927450763060748,-0.10987272474104559
French,fra.Latn,-0.306282722513089,-1.1388967060348332,0.526331261008655,-0.4424083769633508,-0.5967707895216806,-0.28804596440502095
Indonesian,ind.Latn,1.9096858638743455,1.3897285006989448,2.429643227049746,-0.3337696335078534,-0.4805468677383802,-0.18699239927732655
Italian,ita.Latn,-5.892670157068062,-6.909284114295441,-4.876056199840684,-0.7172774869109948,-0.8863485590924346,-0.548206414729555
Japanese,jpn.Jpan,-3.7473821989528795,-4.610500254958616,-2.8842641429471434,-2.763089005235602,-2.932965571468855,-2.593212439002349
Korean,kor.Hang,-5.93717277486911,-6.924277639615175,-4.950067910123044,-2.829842931937173,-3.0092510468923885,-2.6504348169819574
Dutch,nld.Latn,-3.257853403141361,-4.174840716496584,-2.340866089786138,-0.5379581151832461,-0.6867451613470281,-0.3891710690194641
Polish,pol.Latn,-3.1230366492146597,-4.085531122006634,-2.1605421764226853,-0.07198952879581152,-0.19294421562504055,0.0489651580334175
Portuguese,por.Latn,-0.4698952879581152,-1.1855548172060626,0.2457642412898322,0.04581151832460733,-0.05577160592456854,0.1473946425737832
Romanian,ron.Latn,-0.3219895287958115,-1.0136034244555459,0.3696243668639229,-0.24345549738219896,-0.3697049616498055,-0.11720603311459246
Russian,rus.Cyrl,-1.3979057591623036,-2.0762858694082853,-0.719525648916322,-0.32591623036649214,-0.4629735637466625,-0.1888588969863218
Spanish,spa.Latn,1.9856020942408377,1.4841333400621544,2.487070848419521,-0.2395287958115183,-0.3623311239959035,-0.11672646762713312
Turkish,tur.Latn,-9.071989528795811,-9.7747788325711,-8.369200225020522,-0.6767015706806283,-0.8448220715655937,-0.5085810697956629
